,0,1
0,8.0,6.0
1,1.0,1.5
2,6.0,4.5
3,9.0,7.0
4,9.0,7.0
5,2.0,3.0
6,5.0,4.5
7,7.0,4.0
8,5.0,3.5
9,1.0,5.0
10,4.0,5.0
11,5.0,3.0
12,1.0,2.5
13,9.0,4.5
14,2.0,4.5
15,9.0,9.0
16,6.0,7.0
17,9.0,9.0
18,3.0,2.0
19,6.0,6.0
20,5.0,6.5
21,7.0,5.0
22,2.0,2.5
23,4.0,6.5
24,0.0,2.5
25,2.0,1.0
26,0.0,3.0
27,8.0,5.5
28,2.0,2.0
29,2.0,4.5
30,4.0,5.5
31,3.0,3.5
32,0.0,1.5
33,8.0,7.0
34,1.0,4.0
35,8.0,7.0
36,7.0,4.5
37,3.0,2.0
38,7.0,5.5
39,2.0,1.0
40,2.0,2.0
41,3.0,3.0
42,3.0,5.0
43,4.0,2.0
44,1.0,3.5
45,7.0,3.5
46,8.0,6.5
47,2.0,4.5
48,3.0,1.5
49,7.0,6.0
50,4.0,6.5
51,6.0,7.0
52,5.0,4.5
53,8.0,7.0
54,2.0,3.0
55,5.0,2.5
56,6.0,5.0
57,0.0,0.5
58,5.0,4.5
59,0.0,2.5
60,5.0,3.5
61,5.0,2.5
62,9.0,7.0
63,9.0,5.5
64,5.0,6.0
65,5.0,5.5
66,9.0,5.0
67,4.0,4.5
68,8.0,5.0
69,3.0,2.5
70,5.0,3.5
71,7.0,7.0
72,2.0,1.5
73,7.0,7.0
74,7.0,6.0
75,9.0,8.0
76,1.0,0.5
77,9.0,5.5
78,8.0,7.5
79,2.0,1.0
80,9.0,9.0
81,3.0,4.0
82,0.0,4.0
83,9.0,7.0
84,4.0,5.5
85,9.0,6.0
86,3.0,4.0
87,2.0,1.0
88,9.0,7.5
89,8.0,6.5
90,0.0,1.0
91,6.0,6.5
92,2.0,2.5
93,5.0,6.5
94,5.0,2.5
95,9.0,9.0
96,2.0,2.0
97,8.0,8.0
98,0.0,0.0
99,5.0,3.5
100,3.0,2.0
101,5.0,4.5
102,2.0,1.5
103,5.0,4.0
104,8.0,6.0
105,7.0,6.0
106,5.0,5.5
107,2.0,3.5
108,1.0,3.5
109,2.0,3.5
110,8.0,5.0
111,7.0,7.5
112,7.0,7.5
113,7.0,3.5
114,5.0,6.0
115,3.0,4.5
116,6.0,4.5
117,4.0,6.5
118,6.0,3.5
119,4.0,4.5
120,8.0,4.5
121,2.0,1.0
122,1.0,4.5
123,3.0,5.5
124,4.0,3.0
125,9.0,9.0
126,8.0,6.5
127,2.0,1.0
128,7.0,3.5
129,4.0,3.5
130,9.0,6.0
131,7.0,7.5
132,6.0,6.0
133,0.0,1.5
134,2.0,2.0
135,0.0,1.0
136,8.0,7.0
137,6.0,4.0
138,1.0,2.5
139,7.0,6.5
140,1.0,1.0
141,8.0,4.5
142,7.0,8.0
143,1.0,5.0
144,6.0,6.0
145,4.0,4.0
146,6.0,3.5
147,0.0,3.0
148,2.0,3.5
149,2.0,1.0
150,4.0,4.0
151,7.0,6.0
152,3.0,1.5
153,2.0,3.5
154,1.0,1.0
155,8.0,6.5
156,7.0,8.0
157,3.0,1.5
158,7.0,4.5
159,7.0,4.0
160,6.0,6.0
161,3.0,2.5
162,8.0,6.5
163,3.0,2.5
164,9.0,9.0
165,7.0,7.0
166,4.0,5.5
167,9.0,5.0
168,5.0,6.0
169,2.0,4.5
