,0,1
0,3.0,5.0
1,6.0,2.0
2,3.0,0.0
3,8.0,4.0
4,3.0,7.0
5,6.0,4.0
6,8.0,8.0
7,8.0,0.0
8,5.0,9.0
9,4.0,7.0
10,2.0,9.0
11,7.0,8.0
12,6.0,2.0
13,4.0,8.0
14,9.0,7.0
15,3.0,6.0
16,6.0,6.0
17,2.0,2.0
18,0.0,1.0
19,9.0,4.0
20,6.0,1.0
21,0.0,6.0
22,6.0,1.0
23,1.0,8.0
24,2.0,8.0
25,4.0,6.0
26,3.0,9.0
27,3.0,0.0
28,4.0,4.0
29,3.0,6.0
30,7.0,3.0
31,8.0,9.0
32,4.0,3.0
33,2.0,0.0
34,5.0,7.0
35,2.0,7.0
36,6.0,3.0
37,8.0,6.0
38,4.0,1.0
39,8.0,1.0
40,7.0,0.0
41,0.0,4.0
42,8.0,2.0
43,5.0,5.0
44,7.0,7.0
45,4.0,9.0
46,4.0,0.0
47,2.0,4.0
48,2.0,5.0
49,3.0,9.0
50,9.0,1.0
51,8.0,6.0
52,7.0,8.0
53,4.0,5.0
54,2.0,7.0
55,6.0,1.0
56,2.0,7.0
57,3.0,8.0
58,3.0,7.0
59,7.0,1.0
60,0.0,3.0
61,5.0,5.0
62,7.0,5.0
63,1.0,6.0
64,8.0,3.0
65,8.0,0.0
66,5.0,9.0
67,4.0,1.0
68,7.0,3.0
69,4.0,1.0
70,5.0,1.0
71,3.0,0.0
72,2.0,7.0
73,0.0,9.0
74,9.0,7.0
75,9.0,4.0
76,3.0,3.0
77,1.0,9.0
78,0.0,8.0
79,8.0,7.0
80,9.0,7.0
81,8.0,8.0
82,4.0,2.0
83,9.0,3.0
84,4.0,1.0
85,6.0,7.0
86,3.0,0.0
87,7.0,0.0
88,1.0,3.0
89,0.0,0.0
90,9.0,7.0
91,9.0,8.0
92,0.0,4.0
93,0.0,3.0
94,6.0,0.0
95,8.0,5.0
96,2.0,8.0
97,5.0,6.0
98,3.0,9.0
99,1.0,8.0
100,7.0,4.0
101,7.0,3.0
102,6.0,6.0
103,7.0,4.0
104,2.0,1.0
105,9.0,7.0
106,4.0,6.0
107,8.0,4.0
108,4.0,3.0
109,6.0,3.0
110,1.0,0.0
111,3.0,9.0
112,8.0,3.0
113,4.0,0.0
114,5.0,0.0
115,1.0,6.0
116,5.0,8.0
117,2.0,5.0
118,6.0,5.0
119,5.0,7.0
120,8.0,9.0
121,1.0,3.0
122,2.0,0.0
123,2.0,1.0
124,3.0,3.0
125,7.0,9.0
126,8.0,0.0
127,4.0,7.0
128,4.0,4.0
129,6.0,8.0
130,8.0,0.0
131,1.0,6.0
132,5.0,2.0
133,1.0,8.0
134,5.0,3.0
135,2.0,4.0
136,8.0,4.0
137,8.0,3.0
138,4.0,2.0
139,0.0,8.0
140,8.0,5.0
141,9.0,5.0
142,1.0,0.0
143,1.0,6.0
144,1.0,5.0
145,5.0,7.0
146,4.0,1.0
147,3.0,1.0
148,5.0,4.0
149,6.0,2.0
150,3.0,7.0
151,6.0,0.0
152,5.0,8.0
153,3.0,0.0
154,6.0,5.0
155,9.0,7.0
156,7.0,3.0
157,7.0,8.0
158,1.0,5.0
159,6.0,8.0
160,6.0,3.0
161,6.0,7.0
162,5.0,7.0
163,6.0,8.0
164,3.0,6.0
165,0.0,9.0
166,8.0,0.0
167,6.0,9.0
168,0.0,1.0
169,8.0,1.0
170,5.0,2.0
171,6.0,9.0
172,9.0,8.0
173,4.0,7.0
174,0.0,0.0
175,8.0,7.0
176,0.0,5.0
177,0.0,2.0
178,4.0,4.0
179,3.0,4.0
180,6.0,4.0
181,2.0,4.0
182,7.0,2.0
183,1.0,2.0
184,5.0,5.0
185,0.0,2.0
186,4.0,7.0
187,8.0,0.0
188,9.0,9.0
189,2.0,2.0
190,2.0,8.0
191,8.0,1.0
192,3.0,1.0
193,4.0,9.0
194,4.0,2.0
195,5.0,5.0
196,3.0,3.0
197,1.0,6.0
198,7.0,9.0
199,7.0,0.0
200,9.0,8.0
201,3.0,7.0
202,1.0,1.0
203,1.0,3.0
204,7.0,2.0
205,5.0,2.0
206,5.0,6.0
207,8.0,7.0
208,9.0,4.0
209,4.0,0.0
210,4.0,0.0
211,1.0,7.0
212,1.0,5.0
213,7.0,1.0
214,5.0,3.0
215,9.0,6.0
216,6.0,0.0
217,4.0,8.0
218,6.0,1.0
219,8.0,9.0
220,0.0,0.0
221,8.0,5.0
222,9.0,5.0
223,8.0,6.0
224,1.0,3.0
225,0.0,5.0
226,8.0,6.0
227,0.0,6.0
228,8.0,3.0
229,5.0,9.0
230,2.0,4.0
231,2.0,7.0
232,1.0,5.0
233,6.0,0.0
234,8.0,1.0
235,5.0,3.0
236,7.0,6.0
237,3.0,3.0
238,4.0,6.0
239,7.0,8.0
240,3.0,3.0
241,1.0,2.0
242,4.0,3.0
243,1.0,7.0
244,7.0,8.0
245,1.0,0.0
246,5.0,9.0
247,8.0,8.0
248,3.0,3.0
249,4.0,3.0
250,5.0,3.0
251,1.0,1.0
252,9.0,1.0
253,9.0,3.0
254,1.0,4.0
255,8.0,1.0
256,6.0,5.0
257,5.0,6.0
258,8.0,5.0
259,8.0,8.0
260,9.0,4.0
261,8.0,3.0
262,9.0,8.0
263,2.0,5.0
264,6.0,9.0
265,3.0,9.0
266,5.0,2.0
267,3.0,9.0
268,7.0,6.0
269,1.0,3.0
270,3.0,8.0
271,7.0,8.0
272,6.0,4.0
273,4.0,5.0
274,2.0,4.0
275,2.0,0.0
276,8.0,5.0
277,0.0,4.0
278,2.0,1.0
279,3.0,6.0
280,8.0,5.0
281,3.0,3.0
282,7.0,6.0
283,2.0,5.0
284,0.0,7.0
285,4.0,0.0
286,6.0,8.0
287,2.0,8.0
288,4.0,9.0
289,1.0,3.0
290,0.0,3.0
291,4.0,4.0
292,3.0,6.0
293,6.0,5.0
294,8.0,3.0
295,8.0,9.0
296,6.0,1.0
297,1.0,5.0
298,9.0,2.0
299,6.0,7.0
300,8.0,7.0
301,6.0,1.0
302,0.0,6.0
303,9.0,1.0
304,3.0,9.0
305,2.0,0.0
306,0.0,3.0
307,7.0,8.0
308,2.0,1.0
309,9.0,6.0
310,1.0,6.0
311,4.0,1.0
312,0.0,0.0
313,4.0,3.0
314,5.0,3.0
315,3.0,5.0
316,9.0,4.0
317,3.0,8.0
318,2.0,4.0
319,7.0,5.0
320,1.0,3.0
321,0.0,9.0
322,0.0,7.0
323,2.0,7.0
324,4.0,6.0
325,3.0,0.0
326,4.0,3.0
327,5.0,0.0
328,6.0,2.0
329,4.0,2.0
330,5.0,3.0
331,7.0,2.0
332,6.0,1.0
333,5.0,4.0
334,3.0,5.0
335,3.0,3.0
336,1.0,2.0
337,9.0,8.0
338,2.0,5.0
339,0.0,0.0
340,5.0,6.0
341,4.0,0.0
342,6.0,4.0
343,4.0,0.0
344,9.0,6.0
345,4.0,8.0
346,4.0,0.0
347,6.0,7.0
348,1.0,9.0
349,1.0,3.0
350,1.0,4.0
351,2.0,8.0
352,4.0,6.0
353,8.0,4.0
354,5.0,1.0
355,3.0,2.0
356,9.0,7.0
357,1.0,4.0
358,0.0,3.0
359,1.0,6.0
360,5.0,2.0
361,8.0,8.0
362,7.0,5.0
363,8.0,7.0
364,1.0,9.0
365,2.0,2.0
366,7.0,1.0
367,8.0,4.0
368,7.0,2.0
369,8.0,5.0
370,8.0,9.0
371,5.0,0.0
372,0.0,2.0
373,6.0,2.0
374,8.0,4.0
375,2.0,2.0
376,1.0,1.0
377,4.0,6.0
378,0.0,3.0
379,9.0,7.0
380,5.0,8.0
381,9.0,6.0
382,5.0,2.0
383,2.0,2.0
384,2.0,1.0
385,7.0,5.0
386,9.0,7.0
387,2.0,1.0
388,7.0,4.0
389,9.0,0.0
390,4.0,2.0
391,0.0,9.0
392,0.0,9.0
393,4.0,9.0
394,1.0,7.0
395,0.0,7.0
396,4.0,6.0
397,3.0,1.0
398,3.0,9.0
399,9.0,8.0
400,1.0,4.0
401,9.0,1.0
402,5.0,0.0
403,8.0,2.0
404,5.0,5.0
405,4.0,2.0
406,1.0,9.0
407,4.0,5.0
408,2.0,3.0
409,3.0,3.0
410,5.0,1.0
411,6.0,7.0
412,9.0,3.0
413,2.0,2.0
414,4.0,4.0
415,7.0,0.0
416,9.0,9.0
417,0.0,7.0
418,7.0,1.0
419,2.0,5.0
420,6.0,9.0
421,0.0,8.0
422,0.0,1.0
423,9.0,3.0
424,0.0,3.0
